titleId,titleType,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0264464,movie,Catch Me If You Can,2002.0,,141.0,"Biography,Crime,Drama",8.1,884693
tt0310854,movie,Catch Me If You Can,1959.0,,,Drama,6.2,24
tt0518829,tvEpisode,Catch Me If You Can,1973.0,,60.0,"Crime,Drama,Mystery",8.0,62
tt0535973,tvEpisode,Catch Me If You Can,1973.0,,60.0,"Action,Crime,Drama",7.8,69
tt0566232,tvEpisode,Catch Me If You Can,2003.0,,,"Drama,Sport",8.5,6
tt0585915,tvEpisode,Catch Me If You Can,2003.0,,23.0,"Animation,Comedy,Fantasy",8.1,10
tt0594821,tvEpisode,Catch Me If You Can,2002.0,,,"Documentary,Short",4.7,31
tt0723711,tvEpisode,Catch Me If You Can,1994.0,,60.0,"Action,Adventure,Crime",7.8,14
tt0890771,tvEpisode,Catch Me If You Can,2006.0,,43.0,"Crime,Documentary",6.2,8
tt0959174,tvEpisode,Catch Me If You Can,2007.0,,60.0,"Action,Sci-Fi",5.9,84
tt1018646,tvEpisode,Catch Me If You Can,2005.0,,24.0,"Adventure,Comedy,Drama",8.0,7
tt11880132,tvEpisode,Catch Me If You Can,2020.0,,120.0,,8.1,8
tt2400646,tvEpisode,Catch Me If You Can,2011.0,,25.0,"Action,Adventure,Animation",7.0,19
tt2404075,tvEpisode,Catch Me If You Can,2012.0,,22.0,"Comedy,Drama,Family",8.0,107
tt2608330,tvEpisode,Catch Me If You Can,2013.0,,43.0,"Drama,Fantasy,Horror",8.1,1344
tt2913226,tvEpisode,Catch Me If You Can,2013.0,,44.0,"Crime,Documentary",8.5,8
tt3562192,tvEpisode,Catch Me If You Can,2014.0,,40.0,"Drama,Horror,Romance",8.8,632
tt3951476,tvEpisode,Catch Me If You Can,2014.0,,44.0,"Crime,Documentary",7.8,7
tt7521696,tvEpisode,Catch Me If You Can,2017.0,,,"Comedy,Drama,Fantasy",8.5,22
tt7646914,tvEpisode,Catch Me If You Can,2017.0,,,"Biography,History,Mystery",8.7,133
tt8995606,tvEpisode,Catch Me If You Can,2019.0,,,"Comedy,Crime,Drama",8.2,105
tt0337917,movie,Catch That Kid,2004.0,,91.0,"Action,Adventure,Comedy",5.2,10029
tt0428144,tvMovie,Category 6: Day of Destruction,2004.0,,175.0,"Action,Drama,Sci-Fi",5.3,2553
tt0162903,movie,Catfish in Black Bean Sauce,1999.0,,119.0,"Comedy,Drama",6.5,495
tt0112031,tvMovie,Catherine the Great,1995.0,,100.0,"Biography,Drama,History",6.2,1238
tt0488986,tvMovie,Catherine the Great,2005.0,,120.0,"Biography,Drama",7.2,151
tt0706480,tvEpisode,Catherine the Great,1974.0,,,"Action,Crime,Drama",7.2,21
tt0809975,tvEpisode,Catherine the Great,2002.0,,,"Biography,Documentary",7.8,93
tt2092416,short,Catherine the Great,2011.0,,5.0,"Animation,Short",6.5,13
tt3636210,tvEpisode,Catherine the Great,2006.0,,46.0,"Biography,Documentary,History",7.6,5
tt3764724,tvSeries,Velikaya,2015.0,,49.0,"Biography,Drama,History",6.8,255
tt7243884,tvMiniSeries,Catherine the Great,2019.0,2019.0,60.0,"Biography,Drama,History",6.2,4763
tt0127484,video,Cathouse,1995.0,,,"Adult,Drama",5.9,33
tt0359056,tvMovie,Cathouse,2002.0,,70.0,Documentary,5.8,352
tt0114689,movie,Totsuzen! Neko no kuni banipal witt,1995.0,,77.0,"Adventure,Animation,Family",6.7,166
tt0173714,movie,Cats,1998.0,,120.0,Musical,7.4,5250
tt0367924,short,Kaki,2002.0,,7.0,"Animation,Family,Short",6.0,12
tt0482916,short,Cats,1956.0,,2.0,Short,7.0,5
tt0659903,tvEpisode,Cats,1984.0,,30.0,Comedy,7.3,60
tt0925678,tvEpisode,Cats,2007.0,,12.0,"Comedy,Music",8.2,155
tt0964171,tvEpisode,Cats,1999.0,,25.0,"Comedy,Family",7.8,9
tt10015072,tvEpisode,Cats,2019.0,,,"News,Short",5.2,11
tt1080020,tvMovie,Kocky,2006.0,,90.0,Drama,6.6,10
tt11469084,tvEpisode,Cats,2019.0,,,Talk-Show,5.2,11
tt11474240,tvEpisode,Cats,2019.0,,6.0,"Comedy,Talk-Show",6.5,12
tt12037978,tvEpisode,Cats,2020.0,,,Comedy,7.4,36
tt15134128,tvEpisode,Cats,2021.0,,33.0,"Comedy,Fantasy",8.6,16
tt4196860,tvEpisode,Cats,2014.0,,,"Action,Adventure,Animation",7.7,58
tt5225858,tvEpisode,Cats,2016.0,,25.0,"Animation,Comedy",7.9,187
tt5697572,movie,Cats,2019.0,,110.0,"Comedy,Drama,Family",2.7,46366
tt7043574,tvEpisode,Cats,2017.0,,28.0,Drama,6.5,76
tt7481794,short,Cats,2017.0,,11.0,"Action,Comedy,Horror",7.7,42
tt7886614,movie,Cats and Peachtopia,2018.0,,87.0,"Adventure,Animation,Comedy",4.8,1123
tt0239395,movie,Cats & Dogs,2001.0,,87.0,"Action,Comedy,Family",5.1,58174
tt0764334,tvEpisode,Cats & Dogs,2005.0,,22.0,"Adventure,Crime,Reality-TV",5.7,8
tt14329606,tvEpisode,Cats & Dogs,2021.0,,,"Adventure,Animation,Comedy",7.4,6
tt1977193,tvEpisode,Cats & Dogs,2011.0,,23.0,"Comedy,Reality-TV",8.4,8
tt2709260,tvEpisode,Cats & Dogs,2013.0,,22.0,"Comedy,Romance",8.1,372
tt5171166,short,Cats & Dogs,2016.0,,6.0,"Animation,Drama,Family",5.9,25
tt5431844,tvEpisode,Cats & Dogs,2016.0,,26.0,"Comedy,Fantasy",7.1,79
tt0118829,movie,Cats Don't Dance,1997.0,,75.0,"Animation,Comedy,Family",6.9,7342
tt7015220,tvEpisode,Cats Don't Dance,2017.0,,12.0,"Comedy,Fantasy",7.1,65
tt0327554,movie,Catwoman,2004.0,,104.0,"Action,Crime,Fantasy",3.4,114661
tt12120726,tvEpisode,Catwoman,2020.0,,23.0,"Action,Adventure,Animation",8.1,775
tt13583266,tvEpisode,Catwoman,2020.0,,24.0,Comedy,9.0,5
tt1986806,short,DC Showcase: Catwoman,2011.0,,15.0,"Action,Adventure,Animation",6.9,3130
tt2720406,tvEpisode,Catwoman,2013.0,,32.0,"Comedy,Fantasy",7.5,138
